Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,214308,-,-,-,36.93,-117.66,0,1284,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,Temperature,DHI,DNI,GHI,Wind Speed,Wind Direction
2004,1,1,0,0,2.7,65,15,67,1.2000000000000002,107
2004,1,1,0,30,2.2,15,1,15,1.1,102
2004,1,1,1,0,1.8,0,0,0,1,97
2004,1,1,1,30,1.4000000000000001,0,0,0,0.9,88
2004,1,1,2,0,1.1,0,0,0,0.9,79
2004,1,1,2,30,0.9,0,0,0,0.8,72
2004,1,1,3,0,0.6000000000000001,0,0,0,0.8,65
2004,1,1,3,30,0.30000000000000004,0,0,0,0.8,55
2004,1,1,4,0,0,0,0,0,0.8,45
2004,1,1,4,30,-0.1,0,0,0,0.7000000000000001,47
2004,1,1,5,0,-0.2,0,0,0,0.7000000000000001,48
2004,1,1,5,30,-0.30000000000000004,0,0,0,0.6000000000000001,52
2004,1,1,6,0,-0.30000000000000004,0,0,0,0.5,55
2004,1,1,6,30,-0.2,0,0,0,0.5,60
2004,1,1,7,0,0,0,0,0,0.4,64
2004,1,1,7,30,0.1,0,0,0,0.4,59
2004,1,1,8,0,0.2,0,0,0,0.4,54
2004,1,1,8,30,0.30000000000000004,0,0,0,0.4,53
2004,1,1,9,0,0.4,0,0,0,0.5,53
2004,1,1,9,30,0.30000000000000004,0,0,0,0.6000000000000001,64
2004,1,1,10,0,0.30000000000000004,0,0,0,0.7000000000000001,75
2004,1,1,10,30,0.2,0,0,0,0.9,81
2004,1,1,11,0,0,0,0,0,1,87
2004,1,1,11,30,-0.1,0,0,0,1.1,92
2004,1,1,12,0,-0.30000000000000004,0,0,0,1.2000000000000002,96
2004,1,1,12,30,-0.5,0,0,0,1.4000000000000001,99
2004,1,1,13,0,-0.7000000000000001,0,0,0,1.5,103
2004,1,1,13,30,-0.9,0,0,0,1.7000000000000002,105
2004,1,1,14,0,-1.1,0,0,0,1.9000000000000001,107
2004,1,1,14,30,-1.1,0,0,0,2,108
2004,1,1,15,0,-1,0,0,0,2.1,109
2004,1,1,15,30,-0.4,19,0,19,2.5,110
2004,1,1,16,0,0.2,87,27,91,2.9000000000000004,111
2004,1,1,16,30,0.8,137,56,150,3.2,119
2004,1,1,17,0,1.5,179,122,215,3.6,128
2004,1,1,17,30,2.3000000000000003,215,212,292,3.6,139
2004,1,1,18,0,3.1,222,298,345,3.6,150
2004,1,1,18,30,3.7,241,355,401,3.5,155
2004,1,1,19,0,4.2,276,285,413,3.4000000000000004,161
2004,1,1,19,30,4.5,305,28,319,3.4000000000000004,162
2004,1,1,20,0,4.800000000000001,242,1,243,3.5,164
2004,1,1,20,30,4.9,348,69,383,3.3000000000000003,164
2004,1,1,21,0,5,330,140,396,3.1,164
2004,1,1,21,30,4.800000000000001,286,30,299,2.7,162
2004,1,1,22,0,4.6000000000000005,191,371,337,2.4000000000000004,160
2004,1,1,22,30,4,175,288,272,2,164
2004,1,1,23,0,3.4000000000000004,163,119,195,1.7000000000000002,168
2004,1,1,23,30,2.8000000000000003,118,121,142,1.6,172
2004,1,2,0,0,2.2,61,10,62,1.6,177
2004,1,2,0,30,2,14,0,14,1.5,178
2004,1,2,1,0,1.9000000000000001,0,0,0,1.5,179
2004,1,2,1,30,1.8,0,0,0,1.4000000000000001,180
2004,1,2,2,0,1.8,0,0,0,1.3,180
2004,1,2,2,30,1.8,0,0,0,1.2000000000000002,176
2004,1,2,3,0,1.9000000000000001,0,0,0,1.1,173
2004,1,2,3,30,1.9000000000000001,0,0,0,1,168
2004,1,2,4,0,1.8,0,0,0,0.9,163
2004,1,2,4,30,1.6,0,0,0,0.8,157
2004,1,2,5,0,1.5,0,0,0,0.7000000000000001,152
2004,1,2,5,30,1.1,0,0,0,0.6000000000000001,147
2004,1,2,6,0,0.7000000000000001,0,0,0,0.5,142
2004,1,2,6,30,0.4,0,0,0,0.4,122
2004,1,2,7,0,0.2,0,0,0,0.4,102
2004,1,2,7,30,-0.1,0,0,0,0.5,82
2004,1,2,8,0,-0.30000000000000004,0,0,0,0.6000000000000001,62
2004,1,2,8,30,-0.4,0,0,0,0.7000000000000001,59
2004,1,2,9,0,-0.5,0,0,0,0.9,57
2004,1,2,9,30,-0.5,0,0,0,0.9,56
2004,1,2,10,0,-0.5,0,0,0,1,54
2004,1,2,10,30,-0.4,0,0,0,1,52
2004,1,2,11,0,-0.30000000000000004,0,0,0,1,50
2004,1,2,11,30,-0.2,0,0,0,1,49
2004,1,2,12,0,0,0,0,0,1.1,48
2004,1,2,12,30,0,0,0,0,1,50
2004,1,2,13,0,0.1,0,0,0,1,51
2004,1,2,13,30,0,0,0,0,0.9,53
2004,1,2,14,0,-0.1,0,0,0,0.8,54
2004,1,2,14,30,-0.1,0,0,0,0.9,59
2004,1,2,15,0,-0.1,0,0,0,0.9,64
2004,1,2,15,30,0.6000000000000001,25,348,48,1.1,68
2004,1,2,16,0,1.3,43,566,128,1.2000000000000002,73
2004,1,2,16,30,2.1,56,696,215,1.1,80
2004,1,2,17,0,2.9000000000000004,66,789,302,0.9,88
2004,1,2,17,30,3.4000000000000004,73,844,378,0.8,140
2004,1,2,18,0,4,77,895,447,0.6000000000000001,193
2004,1,2,18,30,4.6000000000000005,81,920,498,1,213
2004,1,2,19,0,5.2,77,954,537,1.5,234
2004,1,2,19,30,5.6000000000000005,79,972,563,1.7000000000000002,235
2004,1,2,20,0,5.9,75,984,569,2,237
2004,1,2,20,30,5.9,74,980,558,2.2,241
2004,1,2,21,0,5.800000000000001,70,975,531,2.4000000000000004,244
2004,1,2,21,30,5.4,68,958,489,2.4000000000000004,250
2004,1,2,22,0,5,64,945,437,2.5,255
2004,1,2,22,30,4,58,907,367,2,264
2004,1,2,23,0,3,51,855,286,1.5,272
2004,1,2,23,30,1.3,43,768,198,1.4000000000000001,274
2004,1,3,0,0,-0.4,29,635,106,1.3,276
2004,1,3,0,30,-1.1,15,367,28,1.3,281
2004,1,3,1,0,-1.9000000000000001,0,0,0,1.3,285
2004,1,3,1,30,-2.2,0,0,0,1.3,285
2004,1,3,2,0,-2.6,0,0,0,1.2000000000000002,285
2004,1,3,2,30,-2.8000000000000003,0,0,0,1.1,280
2004,1,3,3,0,-3.1,0,0,0,1,275
2004,1,3,3,30,-3.3000000000000003,0,0,0,1,270
2004,1,3,4,0,-3.6,0,0,0,0.9,265
2004,1,3,4,30,-3.8000000000000003,0,0,0,0.9,263
2004,1,3,5,0,-4.1000000000000005,0,0,0,0.8,261
2004,1,3,5,30,-4.2,0,0,0,0.9,261
2004,1,3,6,0,-4.4,0,0,0,0.9,262
2004,1,3,6,30,-4.5,0,0,0,0.9,266
2004,1,3,7,0,-4.5,0,0,0,1,271
2004,1,3,7,30,-4.6000000000000005,0,0,0,1.1,283
2004,1,3,8,0,-4.6000000000000005,0,0,0,1.1,294
2004,1,3,8,30,-4.6000000000000005,0,0,0,1.2000000000000002,303
2004,1,3,9,0,-4.5,0,0,0,1.3,312
2004,1,3,9,30,-4.4,0,0,0,1.3,316
2004,1,3,10,0,-4.4,0,0,0,1.3,319
2004,1,3,10,30,-4.7,0,0,0,1.4000000000000001,316
2004,1,3,11,0,-5,0,0,0,1.4000000000000001,313
2004,1,3,11,30,-5.4,0,0,0,1.5,311
2004,1,3,12,0,-5.800000000000001,0,0,0,1.6,308
2004,1,3,12,30,-6,0,0,0,1.7000000000000002,307
2004,1,3,13,0,-6.2,0,0,0,1.7000000000000002,305
2004,1,3,13,30,-6.4,0,0,0,1.8,304
2004,1,3,14,0,-6.6000000000000005,0,0,0,1.9000000000000001,304
2004,1,3,14,30,-6.300000000000001,0,0,0,2.1,306
2004,1,3,15,0,-6,0,0,0,2.3000000000000003,307
2004,1,3,15,30,-4.7,35,10,36,3,311
2004,1,3,16,0,-3.5,32,718,140,3.7,314
2004,1,3,16,30,-2.1,40,832,230,4.2,319
2004,1,3,17,0,-0.7000000000000001,45,902,315,4.6000000000000005,324
2004,1,3,17,30,0.1,50,949,393,4.800000000000001,326
2004,1,3,18,0,0.8,61,957,456,4.9,328
2004,1,3,18,30,1.2000000000000002,63,980,508,4.9,328
2004,1,3,19,0,1.5,65,995,545,4.9,329
2004,1,3,19,30,1.6,66,1003,567,4.9,329
2004,1,3,20,0,1.7000000000000002,66,1005,573,4.800000000000001,330
2004,1,3,20,30,1.7000000000000002,66,1001,562,4.800000000000001,332
2004,1,3,21,0,1.7000000000000002,66,987,534,4.7,333
2004,1,3,21,30,1.5,64,970,492,4.6000000000000005,335
2004,1,3,22,0,1.3,60,947,436,4.4,337
2004,1,3,22,30,0.6000000000000001,55,908,366,4,340
2004,1,3,23,0,-0.1,49,858,287,3.5,343
2004,1,3,23,30,-1.8,42,772,199,2.7,345
2004,1,4,0,0,-3.6,31,632,109,1.9000000000000001,346
2004,1,4,0,30,-4.3,16,361,30,1.9000000000000001,345
2004,1,4,1,0,-5,0,0,0,1.8,345
2004,1,4,1,30,-5.300000000000001,0,0,0,1.7000000000000002,344
2004,1,4,2,0,-5.7,0,0,0,1.7000000000000002,343
2004,1,4,2,30,-6,0,0,0,1.6,340
2004,1,4,3,0,-6.2,0,0,0,1.5,337
2004,1,4,3,30,-6.4,0,0,0,1.5,333
2004,1,4,4,0,-6.6000000000000005,0,0,0,1.4000000000000001,329
2004,1,4,4,30,-6.7,0,0,0,1.4000000000000001,326
2004,1,4,5,0,-6.800000000000001,0,0,0,1.3,322
2004,1,4,5,30,-7,0,0,0,1.3,320
2004,1,4,6,0,-7.1000000000000005,0,0,0,1.3,318
2004,1,4,6,30,-7.300000000000001,0,0,0,1.2000000000000002,318
2004,1,4,7,0,-7.5,0,0,0,1.2000000000000002,318
2004,1,4,7,30,-7.7,0,0,0,1.2000000000000002,320
2004,1,4,8,0,-8,0,0,0,1.3,321
2004,1,4,8,30,-8,0,0,0,1.3,323
2004,1,4,9,0,-8.1,0,0,0,1.4000000000000001,326
2004,1,4,9,30,-8.200000000000001,0,0,0,1.5,329
2004,1,4,10,0,-8.3,0,0,0,1.6,333
2004,1,4,10,30,-8.4,0,0,0,1.7000000000000002,335
2004,1,4,11,0,-8.6,0,0,0,1.8,336
2004,1,4,11,30,-8.5,0,0,0,1.8,339
2004,1,4,12,0,-8.5,0,0,0,1.8,341
2004,1,4,12,30,-8.5,0,0,0,1.8,342
2004,1,4,13,0,-8.4,0,0,0,1.8,344
2004,1,4,13,30,-8.3,0,0,0,1.8,345
2004,1,4,14,0,-8.3,0,0,0,1.9000000000000001,347
2004,1,4,14,30,-8.1,0,0,0,2.2,347
2004,1,4,15,0,-7.9,0,0,0,2.5,347
2004,1,4,15,30,-6.7,21,471,52,2.6,350
2004,1,4,16,0,-5.5,34,682,137,2.6,353
2004,1,4,16,30,-3.5,43,800,226,2.4000000000000004,182
2004,1,4,17,0,-1.6,49,872,311,2.1,12
2004,1,4,17,30,-0.5,54,921,388,1.9000000000000001,13
2004,1,4,18,0,0.7000000000000001,62,938,451,1.6,14
2004,1,4,18,30,1.3,65,961,502,1.5,8
2004,1,4,19,0,2,66,980,540,1.4000000000000001,3
2004,1,4,19,30,2.6,67,976,556,1.5,179
2004,1,4,20,0,3.1,65,983,562,1.6,355
2004,1,4,20,30,3.4000000000000004,65,980,552,1.6,356
2004,1,4,21,0,3.7,70,952,523,1.7000000000000002,358
2004,1,4,21,30,3.7,67,934,482,1.7000000000000002,184
2004,1,4,22,0,3.7,64,908,427,1.7000000000000002,9
2004,1,4,22,30,3,60,867,359,1.3,17
2004,1,4,23,0,2.3000000000000003,54,808,280,1,24
2004,1,4,23,30,1.1,46,717,194,1,33
2004,1,5,0,0,-0.2,35,557,105,1,42
2004,1,5,0,30,-0.8,17,271,29,1,37
2004,1,5,1,0,-1.3,0,0,0,1,32
2004,1,5,1,30,-1.7000000000000002,0,0,0,1,24
2004,1,5,2,0,-2,0,0,0,1,17
2004,1,5,2,30,-2.4000000000000004,0,0,0,1,188
2004,1,5,3,0,-2.8000000000000003,0,0,0,1,359
2004,1,5,3,30,-3,0,0,0,1,354
2004,1,5,4,0,-3.2,0,0,0,1,350
2004,1,5,4,30,-3.3000000000000003,0,0,0,1,347
2004,1,5,5,0,-3.4000000000000004,0,0,0,1.1,344
2004,1,5,5,30,-3.4000000000000004,0,0,0,1.1,345
2004,1,5,6,0,-3.5,0,0,0,1.2000000000000002,345
2004,1,5,6,30,-3.5,0,0,0,1.2000000000000002,347
2004,1,5,7,0,-3.5,0,0,0,1.2000000000000002,349
2004,1,5,7,30,-3.6,0,0,0,1.2000000000000002,352
2004,1,5,8,0,-3.6,0,0,0,1.3,355
2004,1,5,8,30,-4,0,0,0,1.4000000000000001,355
2004,1,5,9,0,-4.3,0,0,0,1.6,356
2004,1,5,9,30,-4.7,0,0,0,1.7000000000000002,353
2004,1,5,10,0,-5,0,0,0,1.7000000000000002,350
2004,1,5,10,30,-5.300000000000001,0,0,0,1.8,348
2004,1,5,11,0,-5.7,0,0,0,1.8,347
2004,1,5,11,30,-5.9,0,0,0,1.6,345
2004,1,5,12,0,-6.2,0,0,0,1.5,343
2004,1,5,12,30,-6.4,0,0,0,1.5,342
2004,1,5,13,0,-6.5,0,0,0,1.5,341
2004,1,5,13,30,-6.6000000000000005,0,0,0,1.6,339
2004,1,5,14,0,-6.6000000000000005,0,0,0,1.7000000000000002,338
2004,1,5,14,30,-6.5,0,0,0,1.8,334
2004,1,5,15,0,-6.300000000000001,0,0,0,2,330
2004,1,5,15,30,-5.1000000000000005,31,5,31,2.2,340
2004,1,5,16,0,-4,77,271,117,2.5,350
2004,1,5,16,30,-2.7,119,241,174,2.6,183
2004,1,5,17,0,-1.4000000000000001,54,810,298,2.7,16
2004,1,5,17,30,-0.5,60,862,373,2.6,19
2004,1,5,18,0,0.4,66,890,435,2.4000000000000004,22
2004,1,5,18,30,1.1,69,915,486,2.2,24
2004,1,5,19,0,1.8,70,935,523,2.1,27
2004,1,5,19,30,2.4000000000000004,71,950,548,2,30
2004,1,5,20,0,2.9000000000000004,70,956,555,1.9000000000000001,34
2004,1,5,20,30,3.3000000000000003,69,952,544,1.8,40
2004,1,5,21,0,3.7,68,942,519,1.8,47
2004,1,5,21,30,3.8000000000000003,66,924,478,1.7000000000000002,52
2004,1,5,22,0,3.9000000000000004,63,897,423,1.7000000000000002,58
2004,1,5,22,30,3.3000000000000003,59,857,356,1.3,61
2004,1,5,23,0,2.8000000000000003,53,798,279,0.9,64
2004,1,5,23,30,1.9000000000000001,45,709,193,0.9,62
2004,1,6,0,0,1,35,550,106,0.8,61
2004,1,6,0,30,0.5,18,281,30,0.8,59
2004,1,6,1,0,0.1,0,0,0,0.8,57
2004,1,6,1,30,-0.1,0,0,0,0.8,44
2004,1,6,2,0,-0.30000000000000004,0,0,0,0.7000000000000001,31
2004,1,6,2,30,-0.6000000000000001,0,0,0,0.7000000000000001,17
2004,1,6,3,0,-0.9,0,0,0,0.7000000000000001,2
2004,1,6,3,30,-1.1,0,0,0,0.8,171
2004,1,6,4,0,-1.3,0,0,0,0.9,341
2004,1,6,4,30,-1.3,0,0,0,0.9,339
2004,1,6,5,0,-1.3,0,0,0,0.9,337
2004,1,6,5,30,-1.3,0,0,0,0.9,343
2004,1,6,6,0,-1.2000000000000002,0,0,0,0.9,348
2004,1,6,6,30,-1.2000000000000002,0,0,0,0.9,349
2004,1,6,7,0,-1.2000000000000002,0,0,0,0.8,350
2004,1,6,7,30,-1.1,0,0,0,0.8,348
2004,1,6,8,0,-1,0,0,0,0.8,346
2004,1,6,8,30,-1,0,0,0,0.8,347
2004,1,6,9,0,-0.9,0,0,0,0.8,349
2004,1,6,9,30,-0.9,0,0,0,0.9,351
2004,1,6,10,0,-0.9,0,0,0,0.9,352
2004,1,6,10,30,-0.8,0,0,0,0.9,182
2004,1,6,11,0,-0.7000000000000001,0,0,0,0.9,11
2004,1,6,11,30,-0.8,0,0,0,0.9,15
2004,1,6,12,0,-0.8,0,0,0,0.9,18
2004,1,6,12,30,-0.9,0,0,0,0.9,17
2004,1,6,13,0,-1.1,0,0,0,0.9,17
2004,1,6,13,30,-1.1,0,0,0,0.9,21
2004,1,6,14,0,-1.2000000000000002,0,0,0,0.9,24
2004,1,6,14,30,-1.2000000000000002,0,0,0,0.9,25
2004,1,6,15,0,-1.2000000000000002,0,0,0,0.9,26
2004,1,6,15,30,-0.30000000000000004,29,3,30,1.3,34
2004,1,6,16,0,0.7000000000000001,34,1,34,1.8,41
2004,1,6,16,30,1.5,103,318,176,1.7000000000000002,58
2004,1,6,17,0,2.4000000000000004,138,52,153,1.6,75
2004,1,6,17,30,2.6,140,19,147,1.5,80
2004,1,6,18,0,2.8000000000000003,195,80,229,1.5,85
2004,1,6,18,30,3,173,19,182,1.5,84
2004,1,6,19,0,3.2,227,59,256,1.5,83
2004,1,6,19,30,3.7,249,200,350,1.6,85
2004,1,6,20,0,4.1000000000000005,144,758,529,1.7000000000000002,87
2004,1,6,20,30,4.4,188,510,443,1.9000000000000001,92
2004,1,6,21,0,4.6000000000000005,199,409,396,2,97
2004,1,6,21,30,4.5,222,289,352,1.9000000000000001,102
2004,1,6,22,0,4.5,221,100,261,1.8,108
2004,1,6,22,30,3.6,149,20,156,1.4000000000000001,107
2004,1,6,23,0,2.7,70,2,71,0.9,106
2004,1,6,23,30,2.3000000000000003,70,4,71,0.9,98
2004,1,7,0,0,1.8,36,1,36,0.9,90
2004,1,7,0,30,1.7000000000000002,11,0,11,0.9,83
2004,1,7,1,0,1.5,0,0,0,0.9,77
2004,1,7,1,30,1.3,0,0,0,0.9,73
2004,1,7,2,0,1.2000000000000002,0,0,0,0.9,69
2004,1,7,2,30,1.1,0,0,0,0.9,65
2004,1,7,3,0,1,0,0,0,1,61
2004,1,7,3,30,1,0,0,0,1,63
2004,1,7,4,0,1,0,0,0,1,64
2004,1,7,4,30,1,0,0,0,1,69
2004,1,7,5,0,1,0,0,0,1,73
2004,1,7,5,30,0.9,0,0,0,1,79
2004,1,7,6,0,0.8,0,0,0,1,84
2004,1,7,6,30,0.7000000000000001,0,0,0,1.1,87
2004,1,7,7,0,0.6000000000000001,0,0,0,1.1,89
2004,1,7,7,30,0.5,0,0,0,1.1,88
2004,1,7,8,0,0.5,0,0,0,1.1,87
2004,1,7,8,30,0.5,0,0,0,1.1,84
2004,1,7,9,0,0.4,0,0,0,1.1,80
2004,1,7,9,30,0.30000000000000004,0,0,0,1,75
2004,1,7,10,0,0.1,0,0,0,1,70
2004,1,7,10,30,0,0,0,0,1,67
2004,1,7,11,0,-0.2,0,0,0,1,64
2004,1,7,11,30,-0.4,0,0,0,1,63
2004,1,7,12,0,-0.5,0,0,0,0.9,62
2004,1,7,12,30,-0.7000000000000001,0,0,0,0.9,59
2004,1,7,13,0,-0.8,0,0,0,0.8,56
2004,1,7,13,30,-1,0,0,0,0.8,53
2004,1,7,14,0,-1.1,0,0,0,0.8,49
2004,1,7,14,30,-1,0,0,0,0.7000000000000001,51
2004,1,7,15,0,-0.8,0,0,0,0.7000000000000001,52
2004,1,7,15,30,0.2,21,440,50,1,61
2004,1,7,16,0,1.3,34,657,133,1.3,70
2004,1,7,16,30,2.5,42,768,219,1.3,92
2004,1,7,17,0,3.7,48,842,302,1.3,114
2004,1,7,17,30,4.9,52,892,377,1.5,130
2004,1,7,18,0,6.1000000000000005,54,929,442,1.6,147
2004,1,7,18,30,6.800000000000001,56,946,490,1.7000000000000002,148
2004,1,7,19,0,7.4,59,958,527,1.7000000000000002,150
2004,1,7,19,30,7.800000000000001,60,966,549,1.8,147
2004,1,7,20,0,8.3,64,960,554,1.9000000000000001,145
2004,1,7,20,30,8.3,64,951,542,1.9000000000000001,139
2004,1,7,21,0,8.3,68,927,516,1.9000000000000001,134
2004,1,7,21,30,7.9,66,909,476,1.6,127
2004,1,7,22,0,7.4,61,887,422,1.3,120
2004,1,7,22,30,6.6000000000000005,57,849,356,1.1,112
2004,1,7,23,0,5.9,52,788,279,1,105
2004,1,7,23,30,4.9,45,702,196,1.1,96
2004,1,8,0,0,4,35,552,109,1.1,88
2004,1,8,0,30,3.6,19,303,33,1.1,79
2004,1,8,1,0,3.2,0,0,0,1.1,71
2004,1,8,1,30,3,0,0,0,1.1,67
2004,1,8,2,0,2.7,0,0,0,1.1,64
2004,1,8,2,30,2.4000000000000004,0,0,0,1.1,62
2004,1,8,3,0,2.1,0,0,0,1.1,61
2004,1,8,3,30,2,0,0,0,1.1,51
2004,1,8,4,0,1.9000000000000001,0,0,0,1,42
2004,1,8,4,30,1.8,0,0,0,1.1,38
2004,1,8,5,0,1.8,0,0,0,1.1,34
2004,1,8,5,30,1.7000000000000002,0,0,0,1,35
2004,1,8,6,0,1.6,0,0,0,1,35
2004,1,8,6,30,1.8,0,0,0,0.8,24
2004,1,8,7,0,2.1,0,0,0,0.7000000000000001,13
2004,1,8,7,30,2.3000000000000003,0,0,0,0.8,17
2004,1,8,8,0,2.6,0,0,0,0.8,21
2004,1,8,8,30,2.6,0,0,0,0.8,21
2004,1,8,9,0,2.5,0,0,0,0.8,20
2004,1,8,9,30,2.5,0,0,0,0.8,28
2004,1,8,10,0,2.4000000000000004,0,0,0,0.8,36
2004,1,8,10,30,2.2,0,0,0,0.9,41
2004,1,8,11,0,1.9000000000000001,0,0,0,1,46
2004,1,8,11,30,1.7000000000000002,0,0,0,1.1,50
2004,1,8,12,0,1.5,0,0,0,1.1,54
2004,1,8,12,30,1.4000000000000001,0,0,0,1.1,55
2004,1,8,13,0,1.4000000000000001,0,0,0,1,57
2004,1,8,13,30,1.3,0,0,0,1.1,55
2004,1,8,14,0,1.2000000000000002,0,0,0,1.1,53
2004,1,8,14,30,1.4000000000000001,0,0,0,1.1,52
2004,1,8,15,0,1.5,0,0,0,1.1,52
2004,1,8,15,30,2.7,27,2,27,1.3,52
2004,1,8,16,0,3.9000000000000004,82,174,108,1.5,52
2004,1,8,16,30,5.1000000000000005,124,13,126,1.7000000000000002,67
2004,1,8,17,0,6.2,138,290,225,1.9000000000000001,82
2004,1,8,17,30,7,198,162,257,1.9000000000000001,96
2004,1,8,18,0,7.800000000000001,216,193,297,2,111
2004,1,8,18,30,8.4,206,364,373,2.1,117
2004,1,8,19,0,8.9,259,134,325,2.1,122
2004,1,8,19,30,9.3,246,314,405,2.1,125
2004,1,8,20,0,9.700000000000001,231,414,443,2.1,128
2004,1,8,20,30,9.9,241,360,423,2.2,128
2004,1,8,21,0,10,201,432,411,2.2,128
2004,1,8,21,30,9.9,208,350,367,2.2,127
2004,1,8,22,0,9.8,140,651,407,2.2,127
2004,1,8,22,30,8.8,59,848,360,1.6,124
2004,1,8,23,0,7.7,54,791,283,1.1,122
2004,1,8,23,30,6.800000000000001,46,705,199,1.1,119
2004,1,9,0,0,5.9,70,33,74,1.1,116
2004,1,9,0,30,5.5,23,2,23,0.9,109
2004,1,9,1,0,5.2,0,0,0,0.8,103
2004,1,9,1,30,4.9,0,0,0,0.7000000000000001,84
2004,1,9,2,0,4.6000000000000005,0,0,0,0.7000000000000001,66
2004,1,9,2,30,4,0,0,0,0.8,53
2004,1,9,3,0,3.5,0,0,0,0.8,40
2004,1,9,3,30,3,0,0,0,0.9,35
2004,1,9,4,0,2.6,0,0,0,1,31
2004,1,9,4,30,2.4000000000000004,0,0,0,1,28
2004,1,9,5,0,2.1,0,0,0,1,25
2004,1,9,5,30,1.9000000000000001,0,0,0,1,22
2004,1,9,6,0,1.6,0,0,0,1,20
2004,1,9,6,30,1.5,0,0,0,1,18
2004,1,9,7,0,1.4000000000000001,0,0,0,1,16
